name,host_name,neighbourhood,room_type,price_per_night,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,bathrooms,bedrooms,host_response_rate,review_scores_value,host_response_time
Historic Beacon Hill,Larry,Beacon Hill,Entire home/apt,340,91,23,0.16,1,358,0,1.0,1,100,4.39,Unknown
2 bedroom 1st Floor Apartment in Savin Hill,CarneyFamily,Dorchester,Entire home/apt,132,2,676,4.66,2,5,35,1.0,2,100,4.88,within an hour
Bright Sunlit bedroom near MGH labs/Downtown,Rosalia,Charlestown,Private room,58,29,120,0.84,1,246,4,1.0,1,100,4.64,within an hour
Andrea's Private Bath T Downtown,CarneyFamily,Dorchester,Private room,73,2,750,5.21,2,6,61,1.0,1,100,4.85,within an hour
Large Studio Apt w/ Full Kitchen & Bath + Parking!,Nick,Brighton,Entire home/apt,168,2,288,2.02,4,97,53,1.0,1,92,4.78,within an hour
2 bed/2 bath in the heart of Boston,Hamed,Fenway,Entire home/apt,415,91,40,0.28,1,364,0,2.0,2,100,4.73,Unknown
"Fort Hill Top - 2Bk Private room,  brick townhouse",Kevin,Roxbury,Private room,56,30,27,0.31,3,201,3,2.0,1,100,4.63,within a few hours
Large Private Bedroom & Bathroom by the Seaport,Joshua,South Boston,Private room,122,1,606,5.34,1,48,77,1.0,1,100,4.75,Unknown
Urban oasis trendy JP 'hood - suite,Kelly,Jamaica Plain,Entire home/apt,214,2,319,2.25,1,270,29,1.0,2,100,4.85,within a day
Quiet Sunlit Attic Studio,Fiona,Roslindale,Entire home/apt,99,29,13,0.12,2,353,2,1.5,1,100,4.85,within a day
Charming sunlit house in Boston,Fiona,Roslindale,Entire home/apt,215,29,44,0.31,2,322,0,1.0,2,100,4.65,within a day
Private room/ MUST LOVE DOGS,Thomas,Dorchester,Private room,63,1,190,1.33,1,340,7,1.0,1,100,4.8,within an hour
Room for 2 in Rozzie - Full Bath,Rebecca,Roslindale,Private room,63,29,47,0.33,2,169,1,1.0,1,100,4.8,Unknown
3Bed/2.5Bath Luxury Triplex South End's Union Park,Stacy,South End,Entire home/apt,1250,5,57,0.43,1,254,7,2.5,3,100,4.74,within a few hours
"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",Suzanne,Fenway,Entire home/apt,258,91,2,0.02,4,362,0,1.0,2,100,3.5,within a day
One Private Bedroom in J.P.,Molly,Jamaica Plain,Private room,120,91,38,0.27,1,365,0,1.0,1,100,4.36,Unknown
Spacious Updated 2 Bed Boston Condo w/ Deck,Shannon,South Boston,Entire home/apt,500,29,22,0.2,7,179,1,2.0,2,100,4.64,within a few hours
Spacious Updated Boston Room/Condo,Shannon,South Boston,Private room,230,29,85,0.76,7,365,0,1.0,1,100,4.73,within a few hours
"Studio, w kitchenette, in owner's Beacon Hill home",Janet,Beacon Hill,Entire home/apt,190,29,129,0.95,1,232,5,1.0,0,67,4.68,within a day
I bdrm in Boston/Allston/Brookline,Alla,Allston,Entire home/apt,181,30,55,0.43,1,92,2,1.0,1,100,4.7,within an hour
"The Clare - The Upton Boston, South End",Laura And Olivia,South End,Entire home/apt,260,3,94,0.69,7,126,10,1.0,1,100,4.62,within an hour
furnished 1 bed apartment copley #5,Glenn,South End,Entire home/apt,130,33,80,0.61,5,16,0,1.0,1,100,4.76,within a few hours
Light-filled Private Suite on Beautiful Street,Antoinette,Jamaica Plain,Entire home/apt,180,2,202,1.49,1,98,18,1.0,1,100,4.88,within a day
Sunny 1 Bedroom,Masha,Brighton,Entire home/apt,75,91,11,0.09,3,262,1,1.0,1,100,4.91,within an hour
"The Tremont - The Upton Boston, South End",Laura And Olivia,South End,Entire home/apt,260,2,94,0.72,7,148,15,1.0,0,100,4.53,within an hour
Charming comfort 1 BR / Studio,Masha,Brighton,Entire home/apt,67,91,19,0.14,3,41,1,1.0,1,100,4.63,within an hour
Perfect Location to Explore Boston,Jonathan,Beacon Hill,Entire home/apt,150,365,99,0.74,1,263,0,1.0,1,100,4.75,Unknown
Beautiful 3 bedroom 2 bath apt in Charlestown,Dawn,Charlestown,Entire home/apt,150,91,0,0.0,3,365,0,2.0,3,60,4.7,within a day
BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,Katy,Hyde Park,Entire home/apt,247,2,135,1.0,1,5,9,1.5,4,100,4.86,within an hour
2bd APT 20min from Downtown Boston,Jonathan,Hyde Park,Entire home/apt,158,29,38,0.29,11,292,0,1.0,2,94,4.63,within a few hours
2 Minutes Walk  to the Red Line!,Marie,Dorchester,Private room,50,30,14,0.12,27,354,3,1.0,1,100,4.71,within an hour
1bd Boston apt - Convenient & quiet,Ella,Roslindale,Entire home/apt,158,2,202,1.52,1,115,38,1.0,1,90,4.81,within an hour
"Garden Suite near subway, beach",Jessica,Dorchester,Entire home/apt,132,2,263,1.97,3,226,11,1.0,1,82,4.54,within a few hours
Beautiful Junior 1-bedroom apartment,Jerry,South End,Entire home/apt,160,91,0,0.0,1,179,0,1.0,1,0,4.7,a few days or more
"AKBrownstone: custom-built, park garden view by T",Jonathan,Roxbury,Private room,115,2,492,4.27,6,50,65,1.0,1,100,4.84,within an hour
Urban Travelers Modern Studio,Jennifer,Roxbury,Entire home/apt,118,28,147,1.8,4,44,4,1.0,0,100,4.85,within an hour
Luxury Beacon Hill Apartment 1-BR,Xerxes Khashayar,Beacon Hill,Entire home/apt,178,91,254,1.92,1,192,1,1.0,1,100,4.75,Unknown
230B2 | The Roseclair Redline | 3BR 1B w/AC | Pvt,Lance,Dorchester,Entire home/apt,158,30,31,0.24,58,46,0,1.0,3,87,4.61,within a few hours
"Modern, Spacious 1BR for 4 - Easy Marathon Access!",Alexander Martin,Roxbury,Entire home/apt,175,2,328,2.52,5,157,42,1.0,1,100,4.74,within a few hours
Parking Close 2 Downtown Renovated,Huggy,Roxbury,Private room,38,91,6,0.05,31,365,0,1.0,2,100,4.17,within an hour
Small Rm +walk-in closet Easy to Longwood/Downtown,Huggy,Roxbury,Private room,35,91,0,0.0,31,365,0,1.0,2,100,4.7,within an hour
Beacon Hill Fabulous One Bedroom Apartment,Paul,Beacon Hill,Entire home/apt,150,29,254,1.94,1,177,1,1.0,1,100,4.78,within an hour
"Entire 2nd floor, skylight suite is all yours!",Katharine,Jamaica Plain,Private room,88,29,130,0.99,1,47,1,1.0,2,0,4.83,a few days or more
Minutes to Boston-Near Beach 69-1,May,East Boston,Private room,42,91,90,0.89,1,89,0,2.5,1,100,4.56,Unknown
Sunny bedroom in large quiet house,Jennifer,Roslindale,Private room,78,6,77,0.62,2,181,7,1.5,1,100,4.87,within an hour
"Your Sensational South End - 2BR, no stairs",Liesl,South End,Entire home/apt,195,29,363,2.77,1,87,5,1.0,2,100,4.74,within an hour
Sunlit room with private bath,Evelyn,Jamaica Plain,Private room,110,2,227,1.73,1,254,16,1.0,1,75,4.93,within a day
Sanitized Modern 3BD private home-near BCEC,Tiffany,South Boston,Entire home/apt,454,1,1107,8.5,1,10,111,1.5,3,100,4.83,within an hour
Airy new apt for 2-6. Near subway. Free parking.,Woodruff,Jamaica Plain,Entire home/apt,240,2,62,0.49,1,277,17,2.5,2,100,4.76,within a few hours
Beautiful Studio Apt in North End,Compass,North End,Entire home/apt,259,29,28,0.21,29,66,0,1.0,0,96,4.79,within a few hours
"Bright, cozy bedroom in Victorian",Angela,Dorchester,Private room,69,91,14,0.11,1,268,1,1.0,1,100,4.93,Unknown
Quiet Artist's Retreat,Melissa,Jamaica Plain,Private room,85,29,50,0.38,2,322,2,1.0,1,100,4.63,within a day
AKBrownstone: Master Suite park view by T,Jonathan,Roxbury,Private room,130,2,595,4.57,6,49,76,1.0,1,100,4.84,within an hour
Studio apart Tremont St South End #2,Glenn,South End,Entire home/apt,175,33,79,0.61,5,0,4,1.0,0,100,4.57,within a few hours
Room Logan Airport  1/2 bathroom,Mirian,East Boston,Private room,100,100,5,0.04,2,364,0,1.0,1,100,4.0,within an hour
large & grand 2 bedroom South End by Copley Sq #3,Glenn,South End,Entire home/apt,160,30,149,1.16,5,216,1,1.0,2,100,4.77,within a few hours
newly furn one bedroom by Copley #6,Glenn,South End,Entire home/apt,221,31,88,0.71,5,79,4,1.0,1,100,4.72,within a few hours
"Grt Location, Big 3 Bed, Nr all Colleges, parking",Patrick,Brighton,Entire home/apt,160,45,15,0.13,1,232,3,2.0,3,50,4.67,within a day
AKBrownstone: modern treetop skyline view by T,Jonathan,Roxbury,Private room,97,2,480,3.72,6,50,83,1.0,1,100,4.83,within an hour
Perfectly Located Rental Near MGH & TD Garden #13,Maverick,Beacon Hill,Entire home/apt,166,1,232,1.89,87,355,24,1.0,0,100,4.47,within an hour
South End Studio Perfect for Work Travel #36,Maverick,South End,Entire home/apt,132,1,109,0.89,87,347,7,1.0,0,100,4.43,within an hour
"Explore Newbury St, Fenway, and Chinatown Nearby,",Maverick,South End,Entire home/apt,153,1,174,1.43,87,360,2,1.0,1,100,4.43,within an hour
Boston’s Top Location: Newbury Street – #1,Maverick,Back Bay,Entire home/apt,202,1,170,1.41,87,263,6,1.0,0,100,4.52,within an hour
AKBrownstone: Loft rooftop views by T,Jonathan,Roxbury,Private room,76,2,570,4.42,6,54,87,1.0,1,100,4.77,within an hour
Fort Hill Inn Historic Beauty! Minutes to Center!,Terry,Roxbury,Entire home/apt,282,3,119,0.93,11,131,10,1.5,3,100,4.76,within an hour
"The Upton South End, The Copley Suite",Laura And Olivia,South End,Entire home/apt,204,120,35,0.28,7,239,12,1.0,1,100,4.8,within an hour
AKBrownstone: cozy private studio by T,Jonathan,Roxbury,Entire home/apt,159,2,879,6.82,6,43,95,1.0,0,100,4.75,within an hour
Parking EZ 2 Downtown/Longwood Larg,Huggy,Roxbury,Private room,39,91,7,0.06,31,365,0,2.0,1,100,4.86,within an hour
Parking Renovated Close to Downtown,Huggy,Roxbury,Private room,39,91,1,0.01,31,365,0,1.0,2,100,4.0,within an hour
2 Bd/Bth Apt in Prime Location Gorgeous Water View,Alexander K,West End,Entire home/apt,332,30,17,0.16,11,83,0,2.0,2,100,4.59,within an hour
Boston RooftopTerrace/ 2 Bed / By Logan airport,Elisangela,East Boston,Entire home/apt,258,1,436,3.58,3,312,47,1.0,2,100,4.69,within an hour
South End Studio Perfect for Work Travel #46,Maverick,South End,Entire home/apt,133,1,173,1.45,87,359,13,1.0,0,100,4.52,within an hour
Parking Easy to downtown/Longwood,Huggy,Roxbury,Private room,39,91,4,0.03,31,365,0,2.0,2,100,4.75,within an hour
Charming studio,Masha,Brighton,Entire home/apt,60,91,21,0.21,3,1,2,1.0,1,100,4.86,within an hour
Historic House modernized,Matthew Brenden,Brighton,Entire home/apt,448,3,216,1.68,2,266,32,2.0,5,100,4.87,within an hour
Charming Victorian Furnished Home,Barbara,Hyde Park,Entire home/apt,261,2,114,0.92,1,198,7,2.0,2,100,4.7,within an hour
Cosy Celtic Retreat,Deborah,Brighton,Private room,58,91,29,0.23,1,258,2,1.0,1,100,4.83,within an hour
One Sweet Place (A) managed by Andrea,Andrea,Mattapan,Private room,27,30,24,0.27,4,169,1,1.0,1,100,4.79,within an hour
Studio w/ private entrance and bathroom,Katty,Jamaica Plain,Entire home/apt,94,4,433,3.4,1,239,7,1.0,0,100,4.72,within an hour
Spacious Family-Friendly Townhome Near Harvard,Mingzhou,Allston,Entire home/apt,645,2,351,3.35,2,114,59,2.5,4,100,4.82,within an hour
3rd floor room in Victorian House,Yvonne,Dorchester,Private room,59,29,41,0.33,1,365,0,2.0,5,100,4.82,Unknown
Quiet room - Great location!,Melissa,Jamaica Plain,Private room,84,30,37,0.3,2,229,3,1.0,1,100,4.59,within a day
"Large room with view on Downtown, 27 Dexter Street",Manuela,South Boston,Private room,65,5,200,1.6,3,174,11,1.0,1,100,4.55,within an hour
Stunning SouthEnd/BackBay Penthouse,Susan,Roxbury,Entire home/apt,570,29,100,0.83,3,284,0,1.5,2,100,4.9,within a few hours
2 Bdrm Apt w/ tower in JP Victorian,Matthew,Jamaica Plain,Entire home/apt,199,2,488,3.87,1,269,61,1.0,2,100,4.86,within an hour
Beautiful Townhouse Boston's South End,Jim,South End,Entire home/apt,1000,5,38,0.3,1,88,9,2.5,3,100,4.87,within an hour
"Renovated, Quiet, Free Parking",Huggy,Roxbury,Private room,39,91,6,0.06,31,365,0,1.0,1,100,5.0,within an hour
Beautiful 3 bedroom Dorchester MA,Bernard,Dorchester,Entire home/apt,102,29,267,2.29,2,129,3,1.0,3,100,4.83,within an hour
Quiet  Beauty in Boston,Anthony,Roslindale,Entire home/apt,155,29,25,0.21,2,316,0,1.0,2,60,4.52,within a day
Parking Renovated Close to Downtown,Huggy,Roxbury,Private room,39,91,2,0.02,31,365,0,2.0,2,100,5.0,within an hour
*Fort Hill Inn: Penthouse Duplex* Close to Center,Terry,Mission Hill,Entire home/apt,275,3,229,1.87,5,87,41,2.0,3,100,4.82,within an hour
"Fresh! City Loft Apartment,  Minutes to Center!",Terry,Roxbury,Entire home/apt,162,3,132,1.05,5,81,3,1.0,0,100,4.79,within an hour
Private Entrance * King Beds * Parking * Kid Ready,Kathy,Back Bay,Entire home/apt,302,29,214,1.96,1,202,2,1.0,2,100,4.79,within an hour
"Heart of South End, Convenient, Comfy Studio #42",Maverick,South End,Entire home/apt,90,1,156,1.28,87,191,3,1.0,0,100,4.42,within an hour
Boston at your doorstep!,Heather And Mike,Charlestown,Entire home/apt,625,3,34,0.28,1,38,3,3.0,4,100,4.88,within a day
Share South End Multi-level Loft/ with parking,Paul,Roxbury,Private room,100,91,9,0.07,3,364,0,1.5,1,33,4.78,a few days or more
"Near Fenway Park, South End, and Newbury St #4",Maverick,South End,Entire home/apt,139,1,165,1.39,87,330,15,1.0,0,100,4.47,within an hour
"Stay Close to Fenway, Tufts Medical Center & More",Maverick,South End,Entire home/apt,93,1,316,2.59,87,218,7,1.0,0,100,4.47,within an hour
City sanctuary - garden terrace - ocean view,Amy,South Boston,Entire home/apt,225,3,102,1.07,1,324,17,1.0,0,100,4.76,within an hour
"""La Gemma"" - a gem in the North End",Gina,North End,Entire home/apt,330,3,304,2.51,1,54,18,1.5,2,100,4.91,within an hour
The Nantucket Room near Harvard Square,Todd,Allston,Private room,82,3,389,3.14,8,179,37,1.0,1,100,4.8,within an hour
"2 rms, private bath, females or grandparents only",Linda,Roslindale,Private room,81,30,116,0.94,2,74,4,1.0,1,100,4.94,within a few hours
Great location! 3 BD single fam. Kid-friendly.,Jenny,Back Bay,Entire home/apt,512,91,14,0.11,1,177,0,2.5,3,100,4.79,within a few hours
"Large room, wood floor, 2 windows, 27 Dexter",Manuela,South Boston,Private room,64,5,205,1.66,3,149,11,1.0,1,100,4.48,within an hour
The Meditation Room near Harvard Square,Todd,Allston,Private room,74,60,180,1.46,8,270,3,1.0,1,100,4.73,within an hour
Close to it all-private parking & red MBTA station,Christina,Dorchester,Entire home/apt,198,2,33,0.27,1,10,14,1.0,1,100,4.91,within an hour
Fort Hill Inn- Cozy Studio ApT 1.5 miles to Center,Terry,Roxbury,Entire home/apt,152,3,150,1.21,5,89,18,1.0,0,100,4.6,within an hour
Hidden Gem in Boston: Long Term 1 Month + Only,Lawrence,Hyde Park,Entire home/apt,150,29,29,0.24,1,295,4,1.0,3,100,4.55,within an hour
Small studio in GREAT location,M,Back Bay,Entire home/apt,92,91,57,0.47,1,270,0,1.0,0,100,4.67,Unknown
Pvt tree top suite in great location,Penelope Ann,Jamaica Plain,Private room,117,2,385,3.24,1,41,42,1.0,1,100,4.92,within a few hours
"Free parking, 1 private room, 1 queen Bed",Yedan,West Roxbury,Private room,53,3,109,0.89,1,24,1,1.5,1,100,4.78,within an hour
"Family friendly Victorian home, walk to T",Helder,Jamaica Plain,Entire home/apt,314,29,42,0.35,1,169,1,2.5,5,100,4.53,within a day
Urban Oasis / Apartment perfect for work & create,Kaidi Mali,Roxbury,Entire home/apt,142,3,103,1.18,1,297,14,1.0,1,90,4.68,within an hour
Cozy private room near bus stop,Barrie,Roslindale,Private room,43,29,17,0.14,3,362,2,1.0,1,100,4.47,within a day
"Cozy 1B, Green Line, Boston Coll, Elev, Roof Deck",Kama,Brighton,Entire home/apt,218,29,40,0.33,39,274,2,1.0,1,99,4.43,within an hour
"Stylish Downtown Studio in the SouthEnd, C.Ave# 45",Maverick,South End,Entire home/apt,91,1,260,2.14,87,201,8,1.0,1,100,4.42,within an hour
"Stylish Downtown Studio in the SouthEnd, C.Ave# 43",Maverick,South End,Entire home/apt,135,1,177,1.77,87,301,24,1.0,0,100,4.37,within an hour
Iconic Newbury Street at Your Doorstep #10,Maverick,Back Bay,Entire home/apt,139,1,274,2.28,87,292,15,1.0,0,100,4.55,within an hour
South End Studio Perfect for Work Travel #26,Maverick,South End,Entire home/apt,131,1,120,1.22,87,360,15,1.0,0,100,4.37,within an hour
Perfect Spot Near Boston's Cultural Hub #22,Maverick,South End,Entire home/apt,85,1,169,1.6,87,187,25,1.0,0,100,4.31,within an hour
"Minutes to Chinatown, Boston Common & Fenway Park",Maverick,South End,Entire home/apt,125,1,260,2.2,87,353,2,1.0,0,100,4.52,within an hour
"Treetop+Balcony Suite, ocean view, safe, nr metro",Jessica,Dorchester,Entire home/apt,160,2,128,1.64,3,192,25,1.0,1,82,4.77,within a few hours
"Small room Easy to Downtown, Longwood Clean Sunny",Huggy,Roxbury,Private room,35,91,11,0.1,31,365,0,2.0,1,100,5.0,within an hour
Minutes from Boston Common & the Public Garden # 2,Maverick,South End,Entire home/apt,114,1,151,1.56,87,261,16,1.0,0,100,4.23,within an hour
Renovated Parking EZ to downtown,Huggy,Roxbury,Private room,39,91,5,0.04,31,365,0,2.0,2,100,4.2,within an hour
A Fenway Getaway,Helen,Fenway,Entire home/apt,132,91,98,0.81,1,190,0,1.0,1,100,4.89,within a few hours
"Stylish Downtown Studio in the SouthEnd, C.Ave# 31",Maverick,South End,Entire home/apt,118,1,235,1.98,87,346,18,1.0,0,100,4.5,within an hour
Live in the Heart of Newbury Street #3,Maverick,Back Bay,Entire home/apt,166,1,266,2.28,87,303,7,1.0,0,100,4.64,within an hour
"Prime Newbury St Location, Walk Everywhere #4",Maverick,Back Bay,Entire home/apt,189,1,313,2.68,87,290,17,1.0,0,100,4.73,within an hour
"Newbury St Living –Trendy, Vibrant, Unbeatable!#12",Maverick,Back Bay,Entire home/apt,203,1,242,2.0,87,316,4,1.0,0,100,4.55,within an hour
"Exquisite Treetop Haven, JP Center, Driveway!",Julie,Jamaica Plain,Entire home/apt,259,14,62,0.51,1,252,3,1.0,2,100,4.79,within a few hours
Basement apartment in Charlestown,Ryan,Charlestown,Private room,170,91,8,0.07,1,365,0,1.0,1,100,4.88,Unknown
Private Room near public transport,Barrie,Roslindale,Private room,43,29,24,0.2,3,286,2,1.0,1,100,4.54,within a day
Easy to downtown/Longwood Free Parking Clean House,Huggy,Roxbury,Private room,35,91,7,0.06,31,365,0,2.0,2,100,4.57,within an hour
Cozy Rm Off-Street Parking EZ 2 downtown/Longwood,Huggy,Roxbury,Private room,35,91,6,0.05,31,365,0,2.0,2,100,4.67,within an hour
M&R - Front Bedroom Bathroom Parking - Walk to T!,Polly M,Dorchester,Private room,53,29,154,1.31,3,278,0,1.0,1,100,4.77,within an hour
M&R Quiet Back Room Parking Bathroom,Polly M,Dorchester,Private room,101,29,240,1.98,3,322,0,1.0,1,100,4.84,within an hour
Light and airy separate apt in funky Jamaica Plain,Susan,Jamaica Plain,Entire home/apt,118,2,370,3.09,2,28,28,1.0,1,100,4.83,within an hour
"Quiet, sunny studio, directly on the T",Dustin,Brighton,Entire home/apt,139,80,14,0.14,1,263,2,1.0,1,100,4.79,within a day
"Spacious 3 bed, in unit laundry, central Air",Joel,Brighton,Entire home/apt,327,3,265,2.2,1,341,12,1.0,3,100,4.88,within an hour
Private apartment /parking/cozy garden.,Katarzyna,South Boston,Entire home/apt,180,3,553,4.58,1,253,60,1.0,1,100,4.73,within an hour
"Near Boston Common, North End & Tufts Medical Cent",Maverick,South End,Entire home/apt,301,30,131,1.26,87,234,0,1.0,2,100,4.58,within an hour
Unbeatable Location on Newbury Street #5,Maverick,Back Bay,Entire home/apt,142,1,182,1.67,87,320,35,1.0,0,100,4.62,within an hour
